,tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,non_twitter_url,twitter_url,photo_per_tweet,dog_stage,tweet_id,jpg_url,img_num,ranking,dog_type,confidence_of_prediction,is_dog,tweet_id,retweet_count,favorite_count
0,892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,13.0,10,Phineas,,https://twitter.com/dog_rates/status/892420643555336193,1,,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,p1,Welsh_springer_spaniel,0.465074,True,892420643555336193,7947,37149
1,892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",13.0,10,Tilly,,https://twitter.com/dog_rates/status/892177421306343426,1,,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,p3,Shetland_sheepdog,0.0614285,True,892177421306343426,5901,31950
2,891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12.0,10,Archie,,https://twitter.com/dog_rates/status/891815181378084864,1,,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,p2,collie,0.156665,True,891815181378084864,3902,24064
3,891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13.0,10,Darla,,https://twitter.com/dog_rates/status/891689557279858688,1,,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p1,redbone,0.506826,True,891689557279858688,8099,40468
4,891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12.0,10,Franklin,,https://twitter.com/dog_rates/status/891327558926688256,2,,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p3,Rhodesian_ridgeback,0.07201,True,891327558926688256,8784,38704
5,891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10,None,,https://twitter.com/dog_rates/status/891087950875897856,1,,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p2,miniature_pinscher,0.07419169999999999,True,891087950875897856,2920,19452
6,890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 ",13.0,10,Jax,https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426,1,,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,p1,German_shepherd,0.596461,True,890971913173991426,1939,11346
7,890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13.0,10,None,,https://twitter.com/dog_rates/status/890729181411237888,2,,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,p3,bloodhound,0.116197,True,890729181411237888,17714,62664
8,890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13.0,10,Zoey,,https://twitter.com/dog_rates/status/890609185150312448,1,,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,p2,malinois,0.13858399999999998,True,890609185150312448,4021,26750
9,890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,10,Cassie,,https://twitter.com/dog_rates/status/890240255349198849,1,doggo,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p1,Rhodesian_ridgeback,0.408143,True,890240255349198849,6912,30649
10,890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13.0,10,Koda,,https://twitter.com/dog_rates/status/890006608113172480,2,,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p3,miniature_pinscher,0.222752,True,890006608113172480,6880,29485
11,889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13.0,10,Bruno,,https://twitter.com/dog_rates/status/889880896479866881,1,,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p2,redbone,0.360687,True,889880896479866881,4687,26751
12,889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13.0,10,None,,https://twitter.com/dog_rates/status/889665388333682689,1,puppo,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,p1,miniature_pinscher,0.560311,True,889665388333682689,9426,46170
13,889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12.0,10,Ted,,https://twitter.com/dog_rates/status/889638837579907072,2,,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,p3,Doberman,0.154629,True,889638837579907072,4226,26022
14,889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,13.0,10,Stuart,,https://twitter.com/dog_rates/status/889531135344209921,1,puppo,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,p2,Rottweiler,0.243682,True,889531135344209921,2117,14525
15,889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,13.0,10,Oliver,,https://twitter.com/dog_rates/status/889278841981685760,1,,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,p3,Greater_Swiss_Mountain_dog,0.0161992,True,889278841981685760,5029,24226
16,888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,12.0,10,Jim,,https://twitter.com/dog_rates/status/888917238123831296,1,,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,p2,English_springer,0.263788,True,888917238123831296,4224,27979
17,888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,13.0,10,Zeke,,https://twitter.com/dog_rates/status/888804989199671297,2,,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,p1,Bernese_mountain_dog,0.651137,True,888804989199671297,3997,24567
21,887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,13.0,10,Jeffrey,,https://twitter.com/dog_rates/status/887705289381826560,1,,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,p2,Tibetan_mastiff,0.0582794,True,887517139158093824,11019,44506
22,887517139158093824,2017-07-19 03:39:09,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,14.0,10,None,,https://twitter.com/dog_rates/status/887517139158093824,1,,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,p1,chow,0.692517,True,887473957103951883,16938,66177
26,886983233522544640,2017-07-17 16:17:36,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,13.0,10,Maya,,https://twitter.com/dog_rates/status/886983233522544640,2,,666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,p3,golden_retriever,0.00795896,True,886736880519319552,3043,11554
27,886736880519319552,2017-07-16 23:58:41,Twitter for iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

 ",13.0,10,Mingus,https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552,2,,666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,p2,komondor,0.192305,True,886680336477933568,4186,21544
